route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,city_id,date
714,3,3_11487889,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487891,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487893,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487895,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487897,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487899,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487901,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487903,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487905,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487907,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487909,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487911,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487913,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487915,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487921,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487923,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487925,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487927,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487929,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487931,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487933,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487935,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487937,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487939,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487941,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487943,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487945,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487947,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487949,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487951,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487953,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487955,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487957,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487959,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487961,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487963,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487965,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487967,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487969,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487971,DWORZEC NADODRZE,1,828441,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487738,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487740,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487742,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487744,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487746,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487748,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487750,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487752,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487754,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487756,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487758,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487760,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487762,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487764,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487766,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487768,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487770,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487772,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487774,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487776,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487778,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487780,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487782,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487784,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487786,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487788,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487790,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487792,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487794,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487800,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487802,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487804,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487806,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487808,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487810,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487812,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487814,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487816,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487818,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487820,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487822,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487824,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487826,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487828,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487830,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487832,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487834,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487836,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487838,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487840,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487842,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487844,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487846,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487848,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487850,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487852,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487854,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487856,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487862,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487864,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487866,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487868,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487870,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487872,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487874,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487876,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487878,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487880,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487882,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487884,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487886,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487888,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487890,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487892,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
714,3,3_11487894,OSOBOWICE,0,828442,1,2023-01-10 11:39:08.146227+00:00
