variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
829051,0,826017,,
829053,0,,,
829057,0,826017,,
829060,0,,,
829061,0,826016,,
829066,1,,,
829067,1,,,
829069,0,,,
829070,0,,,
829071,0,,,
829072,0,,,
829073,0,,,
829076,1,,,
829078,1,,,
829079,1,,,
829101,0,,,
829103,0,,,
829109,0,,,
829111,0,,,
829139,1,,,
829140,1,,,
829141,1,,,
829143,0,,,
829145,0,826017,,
829147,0,826016,,
829148,0,826017,,
829153,0,,,
829155,0,826017,,
829157,0,826016,,
829165,0,,,
829166,0,,,
829168,0,826016,,
829178,0,826017,,
829179,1,,,
829180,1,,,
829181,1,,,
829182,1,,,
829183,0,,,
829184,0,,,
829186,0,,,
829187,0,,,
829188,0,,,
829190,1,,,
829191,1,,,
829192,1,,,
829193,1,,,
829195,0,,,
829196,0,,,
829197,0,,,
829198,0,,,
829199,0,,,
829200,0,,,
829201,0,,,
829202,0,,,
829203,0,,,
829204,0,,,
829205,0,,,
829206,0,,,
829207,0,,,
829210,0,,,
829211,0,,,
829212,0,,,
829215,0,,,
829217,0,,,
829224,0,,,
829225,1,,,
829226,1,,,
829229,1,,,
829230,1,,,
829231,1,,,
829232,1,,,
829234,0,,,
829236,0,,,
829242,0,,,
829248,0,,,
829250,0,,,
829253,0,,,
829257,0,,,
829259,0,,,
829260,0,,,
829261,0,,,
829270,1,,,
829272,1,,,
829273,1,,,
829274,1,,,
829275,1,,,
829276,1,,,
829277,1,,,
829278,1,,,
829279,1,,,
829280,1,,,
829281,1,,,
829282,1,,,
829283,1,,,
829284,1,,,
829285,1,,,
829286,1,,,
829287,1,,,
829288,1,,,
829289,1,,,
829290,1,,,
829291,1,,,
829292,1,,,
829293,1,,,
829294,1,,,
829295,1,,,
829296,1,,,
829297,1,,,
829298,1,,,
829299,1,,,
829300,1,,,
829301,1,,,
829302,1,,,
829303,1,,,
829304,1,,,
829305,1,,,
829306,1,,,
829307,1,,,
829308,1,,,
829309,1,,,
829310,1,,,
829311,1,,,
829312,1,,,
829313,1,,,
829314,1,,,
829315,1,,,
829316,1,,,
829317,1,,,
829318,1,,,
829319,1,,,
829320,1,,,
829321,1,,,
829322,0,,,
829325,0,,,
829326,0,,,
829328,0,826017,,
829330,0,826016,,
829331,0,826016,,
829333,0,,,
829334,0,826016,,
829338,0,,,
829339,0,826017,,
829340,0,826016,,
829341,0,,,
829342,0,,,
829346,0,,,
829347,0,826017,,
829348,0,826016,,
829349,0,826016,,
829350,0,826017,,
829351,0,826017,,
829374,0,,,
829376,0,826016,,
829377,0,826017,,
829378,0,826017,,
829380,0,,,
829381,0,826017,,
829382,0,,,
829383,0,826017,,
829384,0,,,
829386,0,826016,,
829388,0,,,
829389,0,826016,,
829391,0,,,
829392,0,,,
829394,0,826016,,
829395,0,826016,,
829400,0,,,
829406,0,826016,,
829408,0,826017,,
829409,0,826016,,
829410,0,826017,,
829411,0,,,
829412,0,826017,,
829413,0,826016,,
829414,0,,,
829415,0,,,
829416,0,,,
829417,0,,,
829418,0,,,
829419,0,826016,,
829420,0,,,
829421,0,,,
829422,0,826016,,
829423,0,826017,,
829424,0,,,
829425,0,,,
829426,0,,,
829428,0,826016,,
829429,0,,,
829430,0,826016,,
829431,0,,,
829435,0,,,
829436,0,,,
829437,0,,,
829438,0,,,
829439,0,,,
829442,0,826017,,
829444,0,,,
829445,0,,,
829446,0,,,
829447,0,,,
829449,0,,,
829454,0,,,
829456,0,,,
829457,0,826016,,
829461,0,,,
829462,0,826016,,
829463,0,,,
829464,0,,,
829466,0,,,
829467,0,826017,,
829468,0,,,
829469,0,,,
829470,0,,,
829471,0,,,
829474,0,,,
829475,0,826017,,
829477,0,826017,,
829487,1,,,
829488,1,,,
829489,1,,,
829490,1,,,
829491,1,,,
829492,1,,,
829493,1,,,
829494,1,,,
829495,1,,,
829496,1,,,
829497,1,,,
829498,1,,,
829499,1,,,
829500,1,,,
829501,1,,,
829502,1,,,
829503,1,,,
829504,1,,,
829505,1,,,
829506,1,,,
829507,1,,,
829508,1,,,
829509,1,,,
829510,0,,,
829511,0,,,
829512,0,,,
829513,0,826017,,
829518,0,826016,,
829521,0,826016,,
829522,0,826017,,
829524,0,,,
829525,0,,,
829526,0,,,
829527,0,,,
829528,0,,,
829529,0,,,
829530,0,826016,,
829531,0,826017,,
829532,0,826017,,
829534,0,,,
829535,0,826016,,
829536,0,826016,,
829537,0,,,
829538,0,826017,,
829539,0,826016,,
829540,0,,,
829543,0,,,
829544,0,826017,,
829545,0,826016,,
829546,0,826017,,
829547,0,,,
829548,0,826016,,
829550,0,,,
829551,0,826017,,
829553,0,826016,,898
829554,0,,,
829555,0,826016,,
829557,0,826017,281,
829559,0,,,
829561,1,,,
829562,1,,,
829563,1,,,
829564,1,,,
829565,1,,,
829566,0,826016,,
829567,0,826017,,
829568,1,,,
829569,1,,,
829571,0,826016,,
829572,0,826017,,
829573,1,,,
829574,1,,,
829575,1,,,
829576,1,,,
829577,1,,,
829578,1,,,
829579,1,,,
829580,1,,,
829581,1,,,
829582,1,,,
829583,1,,,
829584,1,,,
829585,1,,,
829586,1,,,
829587,1,,,
829588,1,,,
829589,1,,,
829590,0,826016,,
829591,0,826017,,
829592,0,826017,,
829593,0,826016,,
829594,0,826017,,
829595,0,826016,,
829596,0,826016,,
829597,0,826016,,
829598,0,826017,,
829599,0,826017,,
829600,0,826016,,
829601,0,826017,,
829602,0,826017,,
829603,0,826016,,
829604,0,826017,,
829605,0,826016,,
829606,0,826016,,
829607,0,826017,,
829608,0,826016,,
829609,0,826016,,
829610,0,826017,,
829611,0,826017,,
829612,0,826016,,
829614,0,,,
829615,0,,,
829616,0,826016,,
829617,0,826017,,
829618,0,826016,,
829619,0,826017,,
829620,0,826017,,
829621,0,826017,,
829622,0,,,
829623,0,826016,,
829624,0,826017,,
829625,0,826017,,
829626,0,,,
829627,0,,,
829628,0,826016,,
829629,0,826016,,
829630,0,826017,,
829631,0,826017,,
829632,0,826016,,
829633,0,826017,,
829634,0,826016,,
829635,0,826017,,
829636,0,,,
829638,0,,,
829639,0,,,
829640,0,,,
829642,0,,,
829643,0,826016,,
829645,0,826016,,
829647,0,826016,,
829648,0,826017,,
829649,0,826016,,
829650,0,826017,,
829651,0,826016,,
829652,0,826016,,
829653,0,826016,,
829654,0,826017,,
829655,0,826017,,
829656,0,,,
829657,0,,,
829658,0,,,
829659,0,826017,,
829661,0,826017,,
829662,0,826016,,
829663,0,826016,,
829664,0,826016,,
829665,0,,,
829666,0,,,
829667,0,,,
829668,0,826016,,
829669,0,826016,,
829670,0,826017,,
829671,0,826016,,
829672,0,826016,,
829673,0,826016,,
829674,0,826017,,
829675,0,826017,,
829678,0,826016,,
829680,0,826017,,
829681,0,826016,,
829682,0,826017,,
829683,0,826017,,
829684,0,826017,,
829685,0,826016,,
829686,0,826016,,
829687,0,826017,,
829688,0,826016,,
829689,0,826017,,
829690,0,,,
829691,0,826016,,
829692,0,826017,,
829693,0,826017,,
829694,0,826016,,
829695,0,826016,,
829696,0,826017,,
829697,1,,,
829698,0,826017,,
829699,0,826017,,
829700,0,826017,,
829701,0,826017,,
829702,1,,,
