route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
129,3,3_11503482,"PORT LOTNICZY",1,828456,3,1,828456
129,3,3_11503484,"PORT LOTNICZY",1,828456,3,1,828456
129,3,3_11503486,"PORT LOTNICZY",1,828456,3,1,828456
129,3,3_11503488,"PORT LOTNICZY",1,828456,3,1,828456
129,3,3_11503490,"PORT LOTNICZY",1,828456,3,1,828456
129,3,3_11503494,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503496,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503498,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503500,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503502,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503504,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503506,"PORT LOTNICZY",1,828456,4,1,828456
129,3,3_11503511,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503513,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503515,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503517,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503519,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503521,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503523,"PORT LOTNICZY",1,828456,5,1,828456
129,3,3_11503448,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503450,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503452,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503454,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503456,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503458,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503460,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,1,1,828457
129,3,3_11503463,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,3,3_11503465,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
129,3,3_11503467,"POŚWIĘCKA (Ośrodek zdrowia)",0,828457,2,1,828457
